sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Isothecium					RO:0008506	ecologically co-occurs with			Synchaetomella						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Piptocephalis						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Colpodella						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Sporichthya						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Xylodon						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Beauveria						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Scleropodium						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Cupriavidus						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Mantis						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Sambucus						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Orbilia						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Allocatelliglobosispora						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Parastagonospora						Klamath Mountains					https://www.ucedna.com	
		Isothecium					RO:0008506	ecologically co-occurs with			Brachyphoris						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Neocystis						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Hartaetosiga						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Candidatus Phytoplasma						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Scleroconidioma						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Sydowia						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Prosthecobacter						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Protaspis						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Cortinarius						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Sambucus						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Orbilia						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Krasilnikovozyma						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Hyalopeziza						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Ceanothus						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Piskurozyma						Klamath Mountains					https://www.ucedna.com	
		Sarcinomyces					RO:0008506	ecologically co-occurs with			Puia						Klamath Mountains					https://www.ucedna.com	
